products.products_quantity,products.warehouse_quantity,products.products_image,products.products_largeimage,products.products_id
-11,12,http://67.227.172.78/images/kroll/small/SAFA_Small_002-09-121.png,http://67.227.172.78/images/kroll/large/SAFA_Large_002-09-121.png,1
-1,10,http://67.227.172.78/images/kroll/small/SAFA_Small_002-10-121.png,http://67.227.172.78/images/kroll/large/SAFA_Large_002-10-121.png,2
-2,0,http://67.227.172.78/images/kroll/small/SAFA_Small_002-10-122.png,http://67.227.172.78/images/kroll/large/SAFA_Large_002-10-122.png,3
-1,0,http://67.227.172.78/images/kroll/small/SAFA_Small_002-10-181.png,http://67.227.172.78/images/kroll/large/SAFA_Large_002-10-181.png,4
-5,0,http://67.227.172.78/images/kroll/small/SAFA_Small_002-107-122.png,http://67.227.172.78/images/kroll/large/SAFA_Large_002-107-122.png,5
