products.warehouse_quantity,products.products_model,products.products_mediumimage,products.products_image,products.products_largeimage,products.products_id
12,KR-002-09-121,http://67.227.172.78/images/kroll/medium/SAFA_Medium_002-09-121.png,http://67.227.172.78/images/kroll/small/SAFA_Small_002-09-121.png,http://67.227.172.78/images/kroll/large/SAFA_Large_002-09-121.png,1
10,KR-002-10-121,http://67.227.172.78/images/kroll/medium/SAFA_Medium_002-10-121.png,http://67.227.172.78/images/kroll/small/SAFA_Small_002-10-121.png,http://67.227.172.78/images/kroll/large/SAFA_Large_002-10-121.png,2
0,KR-002-10-122,http://67.227.172.78/images/kroll/medium/SAFA_Medium_002-10-122.png,http://67.227.172.78/images/kroll/small/SAFA_Small_002-10-122.png,http://67.227.172.78/images/kroll/large/SAFA_Large_002-10-122.png,3
0,KR-002-10-181,http://67.227.172.78/images/kroll/medium/SAFA_Medium_002-10-181.png,http://67.227.172.78/images/kroll/small/SAFA_Small_002-10-181.png,http://67.227.172.78/images/kroll/large/SAFA_Large_002-10-181.png,4
0,KR-002-107-122,http://67.227.172.78/images/kroll/medium/SAFA_Medium_002-107-122.png,http://67.227.172.78/images/kroll/small/SAFA_Small_002-107-122.png,http://67.227.172.78/images/kroll/large/SAFA_Large_002-107-122.png,5
